datetime,rmssd,coverage,hf,lf,lf_hf_ratio
2025-12-28 23:25:00,50.534,1.001,325.375,269.405,
2025-12-28 23:30:00,38.508,0.986,170.74,374.634,
2025-12-28 23:35:00,35.0,0.986,104.413,917.302,
2025-12-28 23:40:00,35.678,0.947,95.721,596.239,
2025-12-28 23:45:00,45.959,0.977,183.204,2214.487,
2025-12-28 23:50:00,33.472,0.988,129.132,653.168,
2025-12-28 23:55:00,47.405,0.992,300.197,598.603,
2025-12-29 00:00:00,45.441,0.965,219.6,724.354,
2025-12-29 00:05:00,42.111,0.993,170.403,1148.49,
2025-12-29 00:10:00,43.517,0.984,229.67,639.278,
2025-12-29 00:15:00,50.088,0.962,361.394,392.915,
2025-12-29 00:20:00,47.218,1.007,350.614,477.284,
2025-12-29 00:25:00,44.393,1.003,263.983,317.964,
2025-12-29 00:30:00,54.957,0.96,509.36,1012.864,
2025-12-29 00:35:00,49.592,1.002,408.756,337.15,
2025-12-29 00:40:00,45.728,1.005,325.782,98.996,
2025-12-29 00:45:00,49.479,0.969,355.739,468.022,
2025-12-29 00:50:00,46.292,1.004,266.583,490.579,
2025-12-29 00:55:00,40.592,1.003,209.246,468.888,
2025-12-29 01:00:00,45.433,0.969,232.605,466.0,
2025-12-29 01:05:00,46.965,1.007,290.601,538.979,
2025-12-29 01:10:00,41.818,0.997,232.112,307.67,
2025-12-29 01:15:00,38.028,1.003,191.704,453.574,
2025-12-29 01:25:00,45.741,0.982,266.215,773.846,
2025-12-29 01:30:00,37.767,0.972,141.478,465.194,
2025-12-29 01:35:00,25.552,0.972,53.58,860.799,
2025-12-29 01:45:00,45.353,0.77,209.928,986.618,
2025-12-29 01:50:00,29.735,0.95,127.607,1023.561,
2025-12-29 01:55:00,28.086,0.844,73.767,1025.281,
2025-12-29 02:00:00,44.566,0.972,205.597,418.589,
2025-12-29 02:05:00,38.89,0.955,144.752,927.132,
2025-12-29 02:10:00,22.851,1.003,75.016,1169.917,
2025-12-29 02:15:00,29.432,0.989,113.609,709.012,
2025-12-29 02:20:00,32.8,0.989,123.856,720.286,
2025-12-29 02:25:00,38.258,0.954,142.21,1171.908,
2025-12-29 02:30:00,39.712,1.007,191.79,684.691,
2025-12-29 02:35:00,43.898,0.981,237.899,503.366,
2025-12-29 02:40:00,45.963,0.994,284.561,999.951,
2025-12-29 02:45:00,36.979,0.986,197.374,1006.695,
2025-12-29 02:50:00,48.091,0.969,372.584,723.771,
2025-12-29 02:55:00,48.867,1.005,380.583,408.995,
2025-12-29 03:00:00,45.004,1.005,318.046,374.288,
2025-12-29 03:05:00,41.792,1.007,216.912,439.297,
2025-12-29 03:10:00,51.144,1.001,352.892,548.33,
2025-12-29 03:15:00,45.149,1.005,252.319,375.985,
2025-12-29 03:20:00,42.277,0.874,282.934,261.493,
2025-12-29 03:25:00,43.422,0.942,287.574,459.004,
2025-12-29 03:30:00,47.691,0.989,324.358,439.637,
2025-12-29 03:35:00,48.52,0.83,316.18,2753.977,
2025-12-29 04:00:00,103.109,0.881,996.634,2278.22,
2025-12-29 04:05:00,71.352,0.85,438.365,1606.311,
2025-12-29 04:10:00,87.734,0.862,677.576,2574.89,
2025-12-29 04:15:00,90.097,0.978,626.753,3591.571,
2025-12-29 04:20:00,88.097,0.861,729.281,2546.543,
2025-12-29 04:25:00,93.339,0.873,973.81,1886.393,
2025-12-29 04:30:00,74.227,0.824,619.281,625.385,
2025-12-29 04:35:00,54.011,0.924,326.858,595.995,
2025-12-29 04:40:00,53.156,0.922,289.146,555.485,
2025-12-29 04:45:00,40.903,0.962,178.076,1090.074,
2025-12-29 04:50:00,40.036,0.917,145.167,480.939,
2025-12-29 04:55:00,32.024,0.989,172.011,1075.885,
2025-12-29 05:00:00,36.631,0.926,166.355,1249.638,
2025-12-29 05:05:00,32.053,0.986,116.005,1524.343,
2025-12-29 05:10:00,30.211,0.938,143.496,1016.07,
2025-12-29 05:15:00,34.222,0.947,113.361,334.706,
2025-12-29 05:20:00,28.159,0.979,122.777,540.163,
2025-12-29 05:25:00,39.17,0.981,326.152,398.698,
2025-12-29 05:30:00,32.101,0.949,186.89,277.618,
2025-12-29 05:35:00,35.061,0.915,184.898,484.01,
2025-12-29 05:40:00,31.503,0.962,140.368,472.807,
2025-12-29 05:45:00,33.713,0.96,183.76,428.401,
2025-12-29 05:55:00,39.034,0.955,178.383,916.792,
2025-12-29 06:00:00,30.635,0.765,87.158,435.164,
2025-12-29 06:05:00,25.935,0.91,82.191,922.284,
2025-12-29 06:10:00,31.127,0.829,73.064,730.659,
2025-12-29 06:15:00,27.469,0.919,80.492,1148.442,
2025-12-29 06:20:00,39.43,0.96,281.024,367.939,
