logId,dateOfSleep,dateTime,level,seconds,isShort
665857912056376000,2025-12-09,2025-12-09 01:39:30,light,3330,False
665857912056376000,2025-12-09,2025-12-09 01:51:30,wake,30,True
665857912056376000,2025-12-09,2025-12-09 02:08:30,wake,90,True
665857912056376000,2025-12-09,2025-12-09 02:35:00,rem,1680,False
665857912056376000,2025-12-09,2025-12-09 02:59:30,wake,60,True
665857912056376000,2025-12-09,2025-12-09 03:03:00,light,5190,False
665857912056376000,2025-12-09,2025-12-09 03:18:00,wake,60,True
665857912056376000,2025-12-09,2025-12-09 04:00:30,wake,120,True
665857912056376000,2025-12-09,2025-12-09 04:04:00,wake,30,True
665857912056376000,2025-12-09,2025-12-09 04:11:30,wake,150,True
665857912056376000,2025-12-09,2025-12-09 04:14:30,wake,30,True
665857912056376000,2025-12-09,2025-12-09 04:29:30,rem,1950,False
665857912056376000,2025-12-09,2025-12-09 04:47:30,wake,120,True
665857912056376000,2025-12-09,2025-12-09 05:02:00,wake,750,False
665857912056376000,2025-12-09,2025-12-09 05:14:30,light,2760,False
665857912056376000,2025-12-09,2025-12-09 05:54:30,wake,30,True
665857912056376000,2025-12-09,2025-12-09 06:00:30,wake,720,False
8030723698774219112,2025-12-10,2025-12-09 22:10:30,wake,1770,False
8030723698774219112,2025-12-10,2025-12-09 22:40:00,light,660,False
8030723698774219112,2025-12-10,2025-12-09 22:51:00,deep,2430,False
8030723698774219112,2025-12-10,2025-12-09 23:31:00,wake,30,True
8030723698774219112,2025-12-10,2025-12-09 23:31:30,light,600,False
8030723698774219112,2025-12-10,2025-12-09 23:41:30,rem,1230,False
8030723698774219112,2025-12-10,2025-12-10 00:02:00,light,120,False
8030723698774219112,2025-12-10,2025-12-10 00:04:00,rem,60,False
8030723698774219112,2025-12-10,2025-12-10 00:05:00,light,1470,False
8030723698774219112,2025-12-10,2025-12-10 00:07:00,wake,30,True
8030723698774219112,2025-12-10,2025-12-10 00:29:30,deep,30,False
8030723698774219112,2025-12-10,2025-12-10 00:30:00,light,540,False
8030723698774219112,2025-12-10,2025-12-10 00:39:00,deep,450,False
8030723698774219112,2025-12-10,2025-12-10 00:46:30,light,1980,False
8030723698774219112,2025-12-10,2025-12-10 00:52:00,wake,30,True
8030723698774219112,2025-12-10,2025-12-10 01:07:00,wake,150,True
8030723698774219112,2025-12-10,2025-12-10 01:11:30,wake,90,True
8030723698774219112,2025-12-10,2025-12-10 01:19:30,rem,2130,False
8030723698774219112,2025-12-10,2025-12-10 01:55:00,light,30,False
8030723698774219112,2025-12-10,2025-12-10 01:55:30,rem,90,False
8030723698774219112,2025-12-10,2025-12-10 01:57:00,light,240,False
8030723698774219112,2025-12-10,2025-12-10 02:01:00,rem,30,False
8030723698774219112,2025-12-10,2025-12-10 02:01:30,light,2250,False
8030723698774219112,2025-12-10,2025-12-10 02:03:30,wake,60,True
8030723698774219112,2025-12-10,2025-12-10 02:39:00,deep,390,False
8030723698774219112,2025-12-10,2025-12-10 02:45:30,light,1710,False
